Regija,long,lat
kr,14.137366686868932,46.30467128428797
ng,13.77435701940932,46.09766557044659
nm,15.012013616716263,45.71187774912644
sg,15.087508810221111,46.53303181852788
po,14.290304239816145,45.69116481457171
kp,13.880645090353434,45.62441194445137
lj,14.587869688983504,46.02917641600542
mb,15.744954439292195,46.47457920763387
ms,16.174304924324176,46.66988884582679
ce,15.195188935126833,46.26335107369198
kk,15.434177253152098,45.95978200941237
za,15.002533355963672,46.13490432409286
