Regija,long,lat,order,hole,piece,id,group
kr,13.8324461,46.24215698,93,FALSE,1,0,0.1
kr,13.80688572,46.24212646,94,FALSE,1,0,0.1
kr,13.79668236,46.24567413,95,FALSE,1,0,0.1
kr,13.79669952,46.24922943,96,FALSE,1,0,0.1
kr,13.77119732,46.25986862,97,FALSE,1,0,0.1
kr,13.77121544,46.26342392,98,FALSE,1,0,0.1
kr,13.7558794,46.26340866,99,FALSE,1,0,0.1
kr,13.7508049,46.27051163,100,FALSE,1,0,0.1
kr,13.74569321,46.27050781,101,FALSE,1,0,0.1
kr,13.7457304,46.27761841,102,FALSE,1,0,0.1
kr,13.74061966,46.27761459,103,FALSE,1,0,0.1
kr,13.7355051,46.27760696,104,FALSE,1,0,0.1
kr,13.73552608,46.28116226,105,FALSE,1,0,0.1
kr,13.7355442,46.28471756,106,FALSE,1,0,0.1
kr,13.73043156,46.28471375,107,FALSE,1,0,0.1
kr,13.73048878,46.29537964,108,FALSE,1,0,0.1
kr,13.7253952,46.29893112,109,FALSE,1,0,0.1
kr,13.72541618,46.30248642,110,FALSE,1,0,0.1
kr,13.74592113,46.3131752,111,FALSE,1,0,0.1
kr,13.74597836,46.32384109,112,FALSE,1,0,0.1
kr,13.74086571,46.32383347,113,FALSE,1,0,0.1
kr,13.74607372,46.34161758,114,FALSE,1,0,0.1
kr,13.776784899999999,46.34876251,115,FALSE,1,0,0.1
kr,13.79218102,46.35944366,116,FALSE,1,0,0.1
kr,13.80751705,46.35945892,117,FALSE,1,0,0.1
kr,13.81262875,46.35946655,118,FALSE,1,0,0.1
kr,13.81264687,46.36302185,119,FALSE,1,0,0.1
kr,13.82287216,46.36303329,120,FALSE,1,0,0.1
kr,13.83828545,46.37726974,121,FALSE,1,0,0.1
kr,13.83832359,46.38438034,122,FALSE,1,0,0.1
kr,13.8281002,46.3843689,123,FALSE,1,0,0.1
kr,13.81789398,46.38791656,124,FALSE,1,0,0.1
kr,13.8179121,46.39147186,125,FALSE,1,0,0.1
kr,13.81289577,46.40924072,126,FALSE,1,0,0.1
kr,13.81291389,46.41279602,127,FALSE,1,0,0.1
kr,13.80268955,46.41278839,128,FALSE,1,0,0.1
kr,13.80270958,46.41634369,129,FALSE,1,0,0.1
kr,13.79248619,46.41633224,130,FALSE,1,0,0.1
kr,13.78741264,46.42343903,131,FALSE,1,0,0.1
kr,13.75675583,46.42695999,132,FALSE,1,0,0.1
kr,13.75170326,46.43762207,133,FALSE,1,0,0.1
kr,13.74147415,46.43761063,134,FALSE,1,0,0.1
kr,13.74149513,46.44116592,135,FALSE,1,0,0.1
kr,13.73127079,46.44115448,136,FALSE,1,0,0.1
kr,13.7261219,46.43404007,137,FALSE,1,0,0.1
kr,13.72101021,46.43403244,138,FALSE,1,0,0.1
kr,13.71589756,46.43402863,139,FALSE,1,0,0.1
kr,13.71587658,46.43047333,140,FALSE,1,0,0.1
kr,13.69029617,46.42689133,141,FALSE,1,0,0.1
kr,13.69027805,46.42333603,142,FALSE,1,0,0.1
kr,13.68005371,46.42332458,143,FALSE,1,0,0.1
kr,13.68520546,46.430439,144,FALSE,1,0,0.1
kr,13.68524361,46.43755341,145,FALSE,1,0,0.1
kr,13.68495178,46.43798828,146,FALSE,1,0,0.1
kr,13.69470024,46.43933868,147,FALSE,1,0,0.1
kr,13.69482231,46.44526291,148,FALSE,1,0,0.1
kr,13.69510078,46.45883179,149,FALSE,1,0,0.1
kr,13.69805527,46.46180725,150,FALSE,1,0,0.1
kr,13.71218967,46.47603989,151,FALSE,1,0,0.1
kr,13.71009064,46.50363922,152,FALSE,1,0,0.1
kr,13.71574211,46.50656509,153,FALSE,1,0,0.1
kr,13.7168808,46.50715256,154,FALSE,1,0,0.1
kr,13.72109032,46.50933075,155,FALSE,1,0,0.1
kr,13.71747589,46.51664352,156,FALSE,1,0,0.1
kr,13.71425915,46.5231514,157,FALSE,1,0,0.1
kr,13.71372414,46.52322006,158,FALSE,1,0,0.1
kr,13.71374702,46.52326202,159,FALSE,1,0,0.1
kr,13.71408367,46.52388763,160,FALSE,1,0,0.1
kr,13.72363758,46.52436829,161,FALSE,1,0,0.1
kr,13.72910309,46.52170181,162,FALSE,1,0,0.1
kr,13.73070335,46.5209198,163,FALSE,1,0,0.1
kr,13.73961926,46.51894379,164,FALSE,1,0,0.1
kr,13.74914455,46.5187912,165,FALSE,1,0,0.1
kr,13.74965858,46.51878357,166,FALSE,1,0,0.1
kr,13.75059032,46.51865005,167,FALSE,1,0,0.1
kr,13.76114559,46.51712418,168,FALSE,1,0,0.1
kr,13.76694775,46.51678085,169,FALSE,1,0,0.1
kr,13.76882839,46.51730728,170,FALSE,1,0,0.1
