"TIME","GEO","INDIC_DE","UNIT","Value","Flag and Footnotes"
"2008","Switzerland","Infant mortality rate","Rate","4.0",""
"2008","United Kingdom","Infant mortality rate","Rate","4.6",""
"2008","Montenegro","Infant mortality rate","Rate","7.5",""
"2009","Belgium","Infant mortality rate","Rate","3.5",""
"2009","Bulgaria","Infant mortality rate","Rate","9.0",""
"2009","Czechia","Infant mortality rate","Rate","2.9",""
"2009","Denmark","Infant mortality rate","Rate","3.1",""
"2009","Germany (until 1990 former territory of the FRG)","Infant mortality rate","Rate","3.5",""
"2009","Estonia","Infant mortality rate","Rate","3.6",""
"2009","Ireland","Infant mortality rate","Rate","3.3",""
"2009","Greece","Infant mortality rate","Rate","3.1",""
"2009","Spain","Infant mortality rate","Rate","3.2",""
"2009","France","Infant mortality rate","Rate","3.9",""
"2009","Croatia","Infant mortality rate","Rate","5.3",""
"2009","Italy","Infant mortality rate","Rate","3.2",""
"2009","Cyprus","Infant mortality rate","Rate","3.3",""
"2009","Latvia","Infant mortality rate","Rate","7.6",""
"2009","Lithuania","Infant mortality rate","Rate","5.6",""
"2009","Luxembourg","Infant mortality rate","Rate","2.5",""
"2009","Hungary","Infant mortality rate","Rate","5.1",""
"2009","Malta","Infant mortality rate","Rate","5.5",""
"2009","Netherlands","Infant mortality rate","Rate","3.8",""
"2009","Austria","Infant mortality rate","Rate","3.8",""
"2009","Poland","Infant mortality rate","Rate","5.6",""
"2009","Portugal","Infant mortality rate","Rate","3.6",""
"2009","Romania","Infant mortality rate","Rate","10.1",""
"2009","Slovenia","Infant mortality rate","Rate","2.4",""
"2009","Slovakia","Infant mortality rate","Rate","5.7",""
"2009","Finland","Infant mortality rate","Rate","2.6",""
"2009","Sweden","Infant mortality rate","Rate","2.5",""
"2009","Iceland","Infant mortality rate","Rate","1.8",""
"2009","Liechtenstein","Infant mortality rate","Rate","2.5",""
"2009","Norway","Infant mortality rate","Rate","3.1",""
"2009","Switzerland","Infant mortality rate","Rate","4.3",""
"2009","United Kingdom","Infant mortality rate","Rate","4.5",""
"2009","Montenegro","Infant mortality rate","Rate","5.7",""
"2010","Belgium","Infant mortality rate","Rate","3.6",""
"2010","Bulgaria","Infant mortality rate","Rate","9.4",""
"2010","Czechia","Infant mortality rate","Rate","2.7",""
"2010","Denmark","Infant mortality rate","Rate","3.4",""
"2010","Germany (until 1990 former territory of the FRG)","Infant mortality rate","Rate","3.4",""
"2010","Estonia","Infant mortality rate","Rate","3.3",""
"2010","Ireland","Infant mortality rate","Rate","3.6",""
"2010","Greece","Infant mortality rate","Rate","3.8",""
"2010","Spain","Infant mortality rate","Rate","3.2",""
"2010","France","Infant mortality rate","Rate","3.6",""
"2010","Croatia","Infant mortality rate","Rate","4.4",""
"2010","Italy","Infant mortality rate","Rate","3.0",""
"2010","Cyprus","Infant mortality rate","Rate","3.2",""
"2010","Latvia","Infant mortality rate","Rate","5.6",""
"2010","Lithuania","Infant mortality rate","Rate","5.0",""
"2010","Luxembourg","Infant mortality rate","Rate","3.4",""
"2010","Hungary","Infant mortality rate","Rate","5.3",""
"2010","Malta","Infant mortality rate","Rate","5.6",""
"2010","Netherlands","Infant mortality rate","Rate","3.8",""
"2010","Austria","Infant mortality rate","Rate","3.9",""
"2010","Poland","Infant mortality rate","Rate","5.0",""
"2010","Portugal","Infant mortality rate","Rate","2.5",""
"2010","Romania","Infant mortality rate","Rate","9.8",""
"2010","Slovenia","Infant mortality rate","Rate","2.5",""
"2010","Slovakia","Infant mortality rate","Rate","5.7",""
"2010","Finland","Infant mortality rate","Rate","2.3",""
"2010","Sweden","Infant mortality rate","Rate","2.5",""
"2010","Iceland","Infant mortality rate","Rate","2.2",""
"2010","Liechtenstein","Infant mortality rate","Rate","3.0",""
"2010","Norway","Infant mortality rate","Rate","2.8",""
"2010","Switzerland","Infant mortality rate","Rate","3.8",""
"2010","United Kingdom","Infant mortality rate","Rate","4.2",""
"2010","Montenegro","Infant mortality rate","Rate","6.7",""
"2011","Belgium","Infant mortality rate","Rate","3.4",""
"2011","Bulgaria","Infant mortality rate","Rate","8.5",""
"2011","Czechia","Infant mortality rate","Rate","2.7",""
"2011","Denmark","Infant mortality rate","Rate","3.5",""
"2011","Germany (until 1990 former territory of the FRG)","Infant mortality rate","Rate","3.6",""
"2011","Estonia","Infant mortality rate","Rate","2.5",""
"2011","Ireland","Infant mortality rate","Rate","3.5",""
"2011","Greece","Infant mortality rate","Rate","3.4",""
"2011","Spain","Infant mortality rate","Rate","3.1",""
"2011","France","Infant mortality rate","Rate","3.5",""
"2011","Croatia","Infant mortality rate","Rate","4.7",""
"2011","Italy","Infant mortality rate","Rate","2.9",""
"2011","Cyprus","Infant mortality rate","Rate","3.1",""
"2011","Latvia","Infant mortality rate","Rate","6.6",""
"2011","Lithuania","Infant mortality rate","Rate","4.8",""
"2011","Luxembourg","Infant mortality rate","Rate","4.3",""
"2011","Hungary","Infant mortality rate","Rate","4.9",""
"2011","Malta","Infant mortality rate","Rate","6.5",""
"2011","Netherlands","Infant mortality rate","Rate","3.6",""
"2011","Austria","Infant mortality rate","Rate","3.6",""
"2011","Poland","Infant mortality rate","Rate","4.7",""
"2011","Portugal","Infant mortality rate","Rate","3.1",""
"2011","Romania","Infant mortality rate","Rate","9.4",""
"2011","Slovenia","Infant mortality rate","Rate","2.9",""
"2011","Slovakia","Infant mortality rate","Rate","4.9",""
"2011","Finland","Infant mortality rate","Rate","2.4",""
"2011","Sweden","Infant mortality rate","Rate","2.1",""
"2011","Iceland","Infant mortality rate","Rate","0.9",""
"2011","Liechtenstein","Infant mortality rate","Rate","2.5",""
"2011","Norway","Infant mortality rate","Rate","2.4",""
"2011","Switzerland","Infant mortality rate","Rate","3.8",""
"2011","United Kingdom","Infant mortality rate","Rate","4.2",""
"2011","Montenegro","Infant mortality rate","Rate","4.4",""
"2012","Belgium","Infant mortality rate","Rate","3.8",""
"2012","Bulgaria","Infant mortality rate","Rate","7.8",""
"2012","Czechia","Infant mortality rate","Rate","2.6",""
"2012","Denmark","Infant mortality rate","Rate","3.4",""
"2012","Germany (until 1990 former territory of the FRG)","Infant mortality rate","Rate","3.3",""
"2012","Estonia","Infant mortality rate","Rate","3.6",""
"2012","Ireland","Infant mortality rate","Rate","3.5",""
"2012","Greece","Infant mortality rate","Rate","2.9",""
