"TIME","GEO","ICCS","LEG_STAT","SEX","UNIT","Value","Flag and Footnotes"
"2008","Liechtenstein","Sexual assault","Convicted person","Total","Number",":",""
"2008","Norway","Intentional homicide","Convicted person","Total","Number","19",""
"2008","Norway","Rape","Convicted person","Total","Number","193",""
"2008","Norway","Sexual assault","Convicted person","Total","Number","258",""
"2008","Switzerland","Intentional homicide","Convicted person","Total","Number","40",""
"2008","Switzerland","Rape","Convicted person","Total","Number","159",""
"2008","Switzerland","Sexual assault","Convicted person","Total","Number","696",""
"2008","England and Wales","Intentional homicide","Convicted person","Total","Number","439",""
"2008","England and Wales","Rape","Convicted person","Total","Number","922",""
"2008","England and Wales","Sexual assault","Convicted person","Total","Number","4,120",""
"2008","Scotland","Intentional homicide","Convicted person","Total","Number","60",""
"2008","Scotland","Rape","Convicted person","Total","Number","28",""
"2008","Scotland","Sexual assault","Convicted person","Total","Number","182",""
"2008","Northern Ireland (UK)","Intentional homicide","Convicted person","Total","Number","10",""
"2008","Northern Ireland (UK)","Rape","Convicted person","Total","Number","15",""
"2008","Northern Ireland (UK)","Sexual assault","Convicted person","Total","Number","528",""
"2008","Montenegro","Intentional homicide","Convicted person","Total","Number",":",""
"2008","Montenegro","Rape","Convicted person","Total","Number",":",""
"2008","Montenegro","Sexual assault","Convicted person","Total","Number","49",""
"2009","Belgium","Intentional homicide","Convicted person","Total","Number",":",""
"2009","Belgium","Rape","Convicted person","Total","Number",":",""
"2009","Belgium","Sexual assault","Convicted person","Total","Number",":",""
"2009","Bulgaria","Intentional homicide","Convicted person","Total","Number","116",""
"2009","Bulgaria","Rape","Convicted person","Total","Number","173",""
"2009","Bulgaria","Sexual assault","Convicted person","Total","Number","169",""
"2009","Czechia","Intentional homicide","Convicted person","Total","Number","111",""
"2009","Czechia","Rape","Convicted person","Total","Number","169",""
"2009","Czechia","Sexual assault","Convicted person","Total","Number","360",""
"2009","Denmark","Intentional homicide","Convicted person","Total","Number","35",""
"2009","Denmark","Rape","Convicted person","Total","Number","251",""
"2009","Denmark","Sexual assault","Convicted person","Total","Number","185",""
"2009","Germany (until 1990 former territory of the FRG)","Intentional homicide","Convicted person","Total","Number","392",""
"2009","Germany (until 1990 former territory of the FRG)","Rape","Convicted person","Total","Number","928",""
"2009","Germany (until 1990 former territory of the FRG)","Sexual assault","Convicted person","Total","Number","7,203",""
"2009","Estonia","Intentional homicide","Convicted person","Total","Number",":",""
"2009","Estonia","Rape","Convicted person","Total","Number",":",""
"2009","Estonia","Sexual assault","Convicted person","Total","Number",":",""
"2009","Ireland","Intentional homicide","Convicted person","Total","Number",":",""
"2009","Ireland","Rape","Convicted person","Total","Number",":",""
"2009","Ireland","Sexual assault","Convicted person","Total","Number","120",""
"2009","Greece","Intentional homicide","Convicted person","Total","Number",":",""
"2009","Greece","Rape","Convicted person","Total","Number",":",""
"2009","Greece","Sexual assault","Convicted person","Total","Number",":",""
"2009","Spain","Intentional homicide","Convicted person","Total","Number",":",""
"2009","Spain","Rape","Convicted person","Total","Number",":",""
"2009","Spain","Sexual assault","Convicted person","Total","Number",":",""
"2009","France","Intentional homicide","Convicted person","Total","Number","624",""
"2009","France","Rape","Convicted person","Total","Number","1,419",""
"2009","France","Sexual assault","Convicted person","Total","Number","6,032",""
"2009","Croatia","Intentional homicide","Convicted person","Total","Number","49",""
"2009","Croatia","Rape","Convicted person","Total","Number","94",""
"2009","Croatia","Sexual assault","Convicted person","Total","Number","245",""
"2009","Italy","Intentional homicide","Convicted person","Total","Number","596",""
"2009","Italy","Rape","Convicted person","Total","Number","2,102",""
"2009","Italy","Sexual assault","Convicted person","Total","Number",":",""
"2009","Cyprus","Intentional homicide","Convicted person","Total","Number","5",""
"2009","Cyprus","Rape","Convicted person","Total","Number","9",""
"2009","Cyprus","Sexual assault","Convicted person","Total","Number","32",""
"2009","Latvia","Intentional homicide","Convicted person","Total","Number","80",""
"2009","Latvia","Rape","Convicted person","Total","Number","70",""
"2009","Latvia","Sexual assault","Convicted person","Total","Number","29",""
"2009","Lithuania","Intentional homicide","Convicted person","Total","Number","213",""
"2009","Lithuania","Rape","Convicted person","Total","Number","96",""
"2009","Lithuania","Sexual assault","Convicted person","Total","Number","102",""
"2009","Luxembourg","Intentional homicide","Convicted person","Total","Number",":",""
"2009","Luxembourg","Rape","Convicted person","Total","Number",":",""
"2009","Luxembourg","Sexual assault","Convicted person","Total","Number",":",""
"2009","Hungary","Intentional homicide","Convicted person","Total","Number","163",""
"2009","Hungary","Rape","Convicted person","Total","Number","95",""
"2009","Hungary","Sexual assault","Convicted person","Total","Number","128",""
"2009","Malta","Intentional homicide","Convicted person","Total","Number","4",""
"2009","Malta","Rape","Convicted person","Total","Number",":",""
"2009","Malta","Sexual assault","Convicted person","Total","Number",":",""
"2009","Netherlands","Intentional homicide","Convicted person","Total","Number",":",""
