"TIME","GEO","AGEDEF","AGE","UNIT","SEX","Value","Flag and Footnotes"
"2006","Liechtenstein","Age reached during the year","Total","Number","Males",":",""
"2006","Liechtenstein","Age reached during the year","Total","Number","Females",":",""
"2006","Norway","Age reached during the year","Total","Number","Total","45,776",""
"2006","Norway","Age reached during the year","Total","Number","Males","24,724",""
"2006","Norway","Age reached during the year","Total","Number","Females","21,052",""
"2006","Switzerland","Age reached during the year","Total","Number","Total","127,586",""
"2006","Switzerland","Age reached during the year","Total","Number","Males","67,543",""
"2006","Switzerland","Age reached during the year","Total","Number","Females","60,043",""
"2006","United Kingdom","Age reached during the year","Total","Number","Total","529,008",""
"2006","United Kingdom","Age reached during the year","Total","Number","Males","280,419",""
"2006","United Kingdom","Age reached during the year","Total","Number","Females","248,588",""
"2006","Montenegro","Age reached during the year","Total","Number","Total",":",""
"2006","Montenegro","Age reached during the year","Total","Number","Males",":",""
"2006","Montenegro","Age reached during the year","Total","Number","Females",":",""
"2006","North Macedonia","Age reached during the year","Total","Number","Total",":",""
"2006","North Macedonia","Age reached during the year","Total","Number","Males",":",""
"2006","North Macedonia","Age reached during the year","Total","Number","Females",":",""
"2007","Belgium","Age reached during the year","Total","Number","Total","146,409",""
"2007","Belgium","Age reached during the year","Total","Number","Males","80,735",""
"2007","Belgium","Age reached during the year","Total","Number","Females","65,674",""
"2007","Bulgaria","Age reached during the year","Total","Number","Total","1,561",""
"2007","Bulgaria","Age reached during the year","Total","Number","Males","877",""
"2007","Bulgaria","Age reached during the year","Total","Number","Females","684",""
"2007","Czechia","Age reached during the year","Total","Number","Total","104,445",""
"2007","Czechia","Age reached during the year","Total","Number","Males","63,721",""
"2007","Czechia","Age reached during the year","Total","Number","Females","40,724",""
"2007","Denmark","Age reached during the year","Total","Number","Total","64,656",""
"2007","Denmark","Age reached during the year","Total","Number","Males","33,723",""
"2007","Denmark","Age reached during the year","Total","Number","Females","30,933",""
"2007","Germany (until 1990 former territory of the FRG)","Age reached during the year","Total","Number","Total","680,766",""
"2007","Germany (until 1990 former territory of the FRG)","Age reached during the year","Total","Number","Males","403,500",""
"2007","Germany (until 1990 former territory of the FRG)","Age reached during the year","Total","Number","Females","277,266",""
"2007","Estonia","Age reached during the year","Total","Number","Total","3,741",""
"2007","Estonia","Age reached during the year","Total","Number","Males","2,093",""
"2007","Estonia","Age reached during the year","Total","Number","Females","1,648",""
"2007","Ireland","Age reached during the year","Total","Number","Total","122,415",""
"2007","Ireland","Age reached during the year","Total","Number","Males","60,164",""
"2007","Ireland","Age reached during the year","Total","Number","Females","62,251",""
"2007","Greece","Age reached during the year","Total","Number","Total","63,298",""
"2007","Greece","Age reached during the year","Total","Number","Males",":",""
"2007","Greece","Age reached during the year","Total","Number","Females",":",""
"2007","Spain","Age reached during the year","Total","Number","Total","958,266",""
"2007","Spain","Age reached during the year","Total","Number","Males","520,911",""
"2007","Spain","Age reached during the year","Total","Number","Females","437,355",""
"2007","France","Age reached during the year","Total","Number","Total","293,980",""
"2007","France","Age reached during the year","Total","Number","Males","140,233",""
"2007","France","Age reached during the year","Total","Number","Females","153,747",""
"2007","Croatia","Age reached during the year","Total","Number","Total","14,622",""
"2007","Croatia","Age reached during the year","Total","Number","Males","7,940",""
"2007","Croatia","Age reached during the year","Total","Number","Females","6,682",""
"2007","Italy","Age reached during the year","Total","Number","Total","527,123",""
"2007","Italy","Age reached during the year","Total","Number","Males","243,358",""
"2007","Italy","Age reached during the year","Total","Number","Females","283,765",""
"2007","Cyprus","Age reached during the year","Total","Number","Total","19,328",""
"2007","Cyprus","Age reached during the year","Total","Number","Males","9,221",""
"2007","Cyprus","Age reached during the year","Total","Number","Females","10,107",""
"2007","Latvia","Age reached during the year","Total","Number","Total","7,517",""
"2007","Latvia","Age reached during the year","Total","Number","Males","4,755",""
"2007","Latvia","Age reached during the year","Total","Number","Females","2,762",""
"2007","Lithuania","Age reached during the year","Total","Number","Total","8,609",""
"2007","Lithuania","Age reached during the year","Total","Number","Males","4,777",""
"2007","Lithuania","Age reached during the year","Total","Number","Females","3,832",""
"2007","Luxembourg","Age reached during the year","Total","Number","Total","16,675",""
